Role,Description
#修飾物體名詞
apposition,表物體的同位語，即指涉相同的物體。
possessor,表物體的領屬者，包含成員、創造者、擁有者和整體等皆為領屬者。
predication,表修飾物體的相關事件，為名詞的關係子句，與事件中心語有論元關係。
property,表物體的特色和性質，也包含物體相關的時空訊息，是一個較上位而粗略的語意角色。
quantifier,表名詞的數量修飾語，為數量定詞、定量詞等等。
#修飾事件動詞–事件參與者角色
agent,表事件中的肇始者，動作動詞的行動者。
benefactor,表受益的對象，但非主要賓語。
causer,表事件的肇始者，但肇始者並未主動促使事件發生。
companion,表主語的隨同對象。
comparison,表比較的對象，多在比較句中出現。
experiencer,表感受所敘述的情緒感知狀況的主事者，為心靈類述語的主語。
goal,表動作影響的對象，或者為心靈動作的受事對象，在有物件轉移的事件中則是個接受者或終點。
range,表分類的範疇或結果的幅度。為分類動詞及比較句的主要語意角色。
source,表物件轉移的起點。
target,述詞內容表達的對象或是轉移的方向。
theme,表靜態及分類述詞敘述的對象或動態事件中描述存在或位移的主事者，以及因事件動作造成物體的狀態從無到有的受事者，皆使用這個語意角色。
topic,表事件所論述的主題。
#修飾事件動詞–事件附加的角色
aspect,表動作的時貌。
degree,表狀態的程度。
deixis,表動作附加的指示成分。
deontics,表說話者對事件是否成真的態度，標示於此類型的法相副詞。
duration,表事件持續的時間長度。
evaluation,表評價的語氣成分。
epistemics,表說話者對事件是否為真的猜測，標示於此類型的法相副詞。
frequency,表事件的頻率。
instrument,表動作時所使用的工具。
interjection,表句中感嘆詞的角色。
location,表事件發生的地點。
manner,表主語的動作方式。
negation,表否定。
particle,表句尾說話者的語氣。
quantity,表事物的數量。
standard,表憑據。
time,表事件發生的時間。
#修飾事件動詞–從屬關係的語意角色
addition,表附加。
alternative,表聯合複句中選擇的口氣。
avoidance,表應避免的情況。
complement,表補充說明，進一步補充前一事件內容。
conclusion,表引介出的結論。
condition,表條件語氣的句子或是事件狀況。
concession,表讓步語氣的連接。
contrast,表轉折語氣。
conversion,表引出轉變條件下的結果。
exclusion,表屏除的對象。
hypothesis,表假設的語氣。
listing,表條列的項目。
purpose,表目的。
reason,表事件的原因。
rejection,表取捨關係中的應捨部分。
result,表事件的結果。
restriction,表遞進語氣的前半部。
selection,表取捨關係中的應取部分。
uncondition,表與現況不符的假設。
whatever,表不論何種條件。
#標記語法功能
DUMMY,表未定的角色，需要靠其上位詞組的中心語才能決定。
DUMMY1,表未定的角色，需要靠其上位詞組的中心語才能決定。
DUMMY2,表未定的角色，需要靠其上位詞組的中心語才能決定。
Head,表語法的中心語，通常也是語意的中心成分，句子或詞組皆有Head這個角色。
head,在「的」的結構裡，語意和語法的中心語不同時，表示為語意的中心語成分，以別於語法的中心語。
nominal,表名物化結構，用來標示中心語為名物化動詞的名詞短語中的「的」。
